"0","250Km"
"2000","28,800"
"1900","27,500"
"1800","26,100"
"1700","24,800"
"1600","23,400"
"1500","22,100"
"1400","20,800"
"1300","19,400"
"1200","18,100"
"1100","16,700"
"1000","15,400"
"950","14,600"
"900","13,900"
"850","13,100"
"800","12,400"
"750","11,700"
"700","10,900"
"650","10,200"
"600","9,500"
"550","8,700"
"500","8,000"
"450","7,200"
"400","6,500"
"350","5,800"
"300","5,000"
"250","4,300"
"200","3,700"
"180","3,500"
"160","3,200"
"140","2,900"
"120","2,600"
"100","2,300"
"80","2,000"
"60","1,700"
"40","1,500"
"30","1,300"
"20","1,200"
"10","1,000"