"0","2,000","1,900","1,800","1,700","1,600","1,500","1,400","1,300","1,200","1,100","1,000","950","900","850","800","750","700","650","600","550","500","450","400","350","300","250","200","150","100","50"
"2000","132,410","126,740","121,070","115,400","109,730","104,060","98,390","92,720","87,150","81,480","75,810","72,980","70,140","67,310","64,470","61,640","58,800","55,970","53,130","50,300","47,460","44,630","41,790","38,960","36,120","33,290","29,400","25,520","21,420","18,480"
"1900","125,790","120,440","115,080","109,730","104,270","98,910","93,560","88,200","82,850","77,490","72,140","69,410","66,780","64,050","61,320","58,590","55,970","53,240","50,610","47,880","45,150","42,530","39,800","37,070","34,440","31,710","28,040","24,470","20,580","17,750"
"1800","119,180","114,140","108,990","103,950","98,910","93,770","88,730","83,580","78,540","73,500","68,360","65,840","63,320","60,800","58,170","55,650","53,130","50,610","47,990","45,470","42,950","40,430","37,800","35,280","32,760","30,240","26,780","23,310","19,640","17,120"
"1700","112,670","107,840","103,010","98,280","93,450","88,620","83,900","79,070","74,240","69,410","64,680","62,270","59,850","57,440","55,020","52,610","50,300","47,880","45,470","43,050","40,640","38,220","35,810","33,390","31,080","28,670","25,410","22,260","18,800","16,380"
"1600","106,050","101,540","97,020","92,510","87,990","83,480","78,960","74,450","69,930","65,420","60,900","58,700","56,490","54,180","51,980","49,670","47,360","45,150","42,840","40,640","38,330","36,120","33,810","31,610","29,400","27,090","24,050","21,110","17,960","15,750"
"1500","99,440","95,240","91,040","86,840","82,530","78,330","74,130","69,930","65,730","61,430","57,230","55,130","53,030","50,930","48,830","46,620","44,520","42,420","40,320","38,220","36,120","34,020","31,820","29,720","27,620","25,520","22,790","20,060","17,120","15,020"
"1400","92,930","88,940","85,050","81,060","77,180","73,190","69,300","65,310","61,430","57,440","53,550","51,560","49,560","47,670","45,680","43,680","41,690","39,690","37,800","35,810","33,810","31,820","29,820","27,930","25,940","23,940","21,420","18,900","16,280","14,390"
"1300","86,310","82,640","78,960","75,390","71,720","68,040","64,370","60,800","57,120","53,450","49,770","47,990","46,200","44,310","42,530","40,640","38,850","37,070","35,180","33,390","31,500","29,720","27,830","26,040","24,260","22,370","20,060","17,850","15,440","13,650"
"1200","79,700","76,340","72,980","69,620","66,260","62,900","59,540","56,180","52,820","49,460","46,100","44,420","42,740","41,060","39,380","37,700","36,020","34,340","32,660","30,980","29,300","27,620","25,940","24,260","22,580","20,900","18,800","16,700","14,490","13,020"
"1100","73,190","70,040","66,990","63,950","60,900","57,750","54,710","51,660","48,510","45,470","42,420","40,850","39,380","37,800","36,230","34,650","33,180","31,610","30,030","28,560","26,990","25,520","23,940","22,370","20,900","19,320","17,430","15,650","13,650","12,290"
"1000","66,570","63,740","61,010","58,170","55,440","52,610","49,880","47,040","44,210","41,480","38,640","37,280","35,910","34,550","33,080","31,710","30,350","28,880","27,510","26,150","24,680","23,310","21,950","20,580","19,110","17,750","16,070","14,490","12,810","11,660"
"950","63,210","60,590","57,960","55,340","52,610","49,980","47,360","44,730","42,110","39,380","36,750","35,390","34,130","32,760","31,500","30,140","28,770","27,510","26,150","24,780","23,520","22,160","20,900","19,530","18,170","16,910","15,330","13,860","12,180","11,130"
"900","59,850","57,440","54,920","52,400","49,880","47,360","44,840","42,320","39,800","37,380","34,860","33,600","32,340","31,080","29,820","28,560","27,300","26,040","24,780","23,520","22,260","21,000","19,740","18,590","17,330","16,070","14,600","13,130","11,550","10,500"
"850","56,490","54,180","51,770","49,460","47,040","44,730","42,320","40,010","37,590","35,280","32,870","31,710","30,560","29,400","28,140","26,990","25,830","24,570","23,420","22,260","21,110","19,850","18,690","17,540","16,380","15,230","13,760","12,390","11,030","9,980"
"800","53,130","50,930","48,720","46,520","44,310","42,110","39,900","37,700","35,390","33,180","30,980","29,820","28,770","27,620","26,570","25,410","24,260","23,210","22,050","21,000","19,850","18,800","17,640","16,490","15,440","14,280","13,020","11,760","10,400","9,450"
"750","49,770","47,670","45,680","43,580","41,480","39,380","37,380","35,280","33,180","31,080","29,090","28,040","26,990","25,940","24,890","23,840","22,790","21,740","20,790","19,740","18,690","17,640","16,590","15,540","14,490","13,440","12,290","11,030","9,770","8,930"
"700","46,410","44,520","42,530","40,640","38,750","36,750","34,860","32,870","30,980","29,090","27,090","26,150","25,200","24,260","23,210","22,260","21,320","20,370","19,430","18,480","17,430","16,490","15,540","14,600","13,550","12,600","11,450","10,400","9,240","8,400"
"650","43,050","41,270","39,480","37,700","35,910","34,130","32,340","30,560","28,770","26,990","25,200","24,260","23,420","22,470","21,630","20,690","19,850","18,900","18,060","17,120","16,280","15,330","14,490","13,550","12,710","11,760","10,710","9,660","8,610","7,880"
"600","39,690","38,120","36,440","34,760","33,180","31,500","29,820","28,250","26,570","24,890","23,210","22,470","21,630","20,790","19,950","19,220","18,380","17,540","16,700","15,860","15,020","14,180","13,440","12,600","11,760","10,920","9,870","9,030","8,090","7,350"
"550","36,330","34,860","33,390","31,920","30,350","28,880","27,410","25,830","24,360","22,890","21,320","20,580","19,850","19,110","18,380","17,640","16,800","16,070","15,330","14,600","13,860","13,130","12,290","11,550","10,820","10,080","9,240","8,300","7,460","6,830"
"500","32,970","31,610","30,240","28,880","27,620","26,250","24,890","23,520","22,160","20,790","19,430","18,800","18,060","17,330","16,700","15,960","15,330","14,700","13,970","13,340","12,600","11,970","11,240","10,500","9,870","9,240","8,300","7,560","6,830","6,200"
"450","29,720","28,460","27,200","26,040","24,780","23,630","22,370","21,110","19,950","18,690","17,540","16,910","16,280","15,650","15,020","14,490","13,860","13,230","12,600","11,970","11,450","10,820","10,190","9,560","9,030","8,400","7,670","6,930","6,200","5,670"
"400","26,250","25,200","24,150","23,100","21,950","20,900","19,850","18,800","17,750","16,590","15,540","15,020","14,490","13,970","13,440","12,920","12,390","11,870","11,240","10,710","10,190","9,660","9,140","8,610","8,090","7,560","6,930","6,300","5,570","5,150"
"350","22,890","21,950","21,000","20,160","19,220","18,270","17,330","16,380","15,440","14,600","13,650","13,130","12,710","12,180","11,760","11,340","10,820","10,400","9,870","9,450","8,930","8,510","8,090","7,560","7,140","6,620","5,990","5,570","4,940","4,620"
"300","19,530","18,800","17,960","17,220","16,380","15,650","14,810","14,070","13,230","12,500","11,660","11,340","10,920","10,500","10,190","9,770","9,350","8,930","8,510","8,190","7,770","7,350","7,040","6,620","6,200","5,780","5,360","4,830","4,410","4,100"
"250","16,280","15,540","14,910","14,280","13,650","13,020","12,390","11,760","11,130","10,400","9,770","9,450","9,140","8,820","8,510","8,190","7,880","7,560","7,250","6,930","6,620","6,200","5,880","5,570","5,250","4,940","4,620","4,200","3,780","3,570"
"200","13,230","12,710","12,180","11,660","11,130","10,610","10,190","9,660","9,140","8,610","8,090","7,770","7,560","7,250","7,040","6,830","6,510","6,300","5,990","5,780","5,460","5,250","5,040","4,620","4,520","4,200","3,890","3,570","3,260","3,050"
"180","12,500","12,080","11,550","11,030","10,610","10,080","9,660","9,140","8,610","8,190","7,670","7,460","7,140","6,930","6,720","6,410","6,200","5,990","5,780","5,460","5,250","4,940","4,730","4,520","4,310","3,990","3,680","3,470","3,150","2,940"
"160","11,130","10,710","10,290","9,870","9,450","9,030","8,610","8,190","7,770","7,350","6,930","6,720","6,510","6,300","5,990","5,780","5,570","5,360","5,150","4,940","4,730","4,520","4,310","4,100","3,890","3,680","3,470","3,150","2,840","2,730"
"140","9,870","9,450","9,140","8,720","8,400","7,980","7,560","7,250","6,830","6,510","6,090","5,880","5,780","5,570","5,360","5,150","5,040","4,830","4,620","4,410","4,310","4,100","3,890","3,680","3,570","3,360","3,150","2,840","2,630","2,520"
"120","8,400","8,090","7,770","7,460","7,140","6,830","6,510","6,200","5,880","5,670","5,360","5,150","4,940","4,830","4,730","4,520","4,410","4,200","4,100","3,890","3,680","3,570","3,470","3,260","3,150","2,940","2,730","2,630","2,420","2,310"
"100","7,140","6,930","6,620","6,410","6,090","5,880","5,570","5,360","5,150","4,830","4,620","4,410","4,310","4,200","4,100","3,890","3,780","3,680","3,570","3,470","3,260","3,150","3,050","2,940","2,730","2,630","2,420","2,310","2,100","2,100"
"80","5,780","5,570","5,360","5,250","5,040","4,830","4,620","4,410","4,200","3,990","3,780","3,680","3,570","3,470","3,470","3,260","3,260","3,150","3,050","2,940","2,840","2,730","2,630","2,520","2,420","2,310","2,100","2,000","1,890","1,790"
"60","4,200","4,100","3,990","3,890","3,680","3,570","3,470","3,360","3,150","3,050","2,940","2,840","2,840","2,730","2,630","2,630","2,520","2,420","2,420","2,310","2,210","2,210","2,100","2,100","2,000","1,890","1,790","1,790","1,680","1,580"
"40","3,470","3,360","3,260","3,150","3,050","2,940","2,840","2,730","2,630","2,520","2,420","2,420","2,310","2,310","2,210","2,210","2,210","2,100","2,100","2,000","2,000","1,890","1,890","1,790","1,790","1,680","1,680","1,580","1,470","1,470"
"30","2,520","2,520","2,420","2,310","2,310","2,210","2,210","2,100","2,100","2,000","2,000","1,890","1,890","1,890","1,790","1,790","1,790","1,680","1,680","1,680","1,580","1,580","1,580","1,580","1,580","1,470","1,470","1,470","1,370","1,370"
"20","2,100","2,100","2,000","2,000","2,000","1,890","1,890","1,790","1,790","1,790","1,680","1,680","1,680","1,580","1,580","1,580","1,580","1,580","1,470","1,470","1,470","1,470","1,470","1,370","1,370","1,370","1,370","1,370","1,260","1,260"
"10","1,470","1,470","1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,160","1,160","1,160","1,160","1,160","1,160"