,2000,1900,1800,1700,1600,1500,1400,1300,1200,1100,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
2000,122840,117590,112350,107110,101860,96620,91380,86140,80890,75650,70410,67730,65160,62490,59810,57250,54570,52000,49330,46760,44080,41410,38730,36170,33600,30920,27290,23650,19900,17120
1900,116740,111820,106790,101760,96840,91810,86880,81860,76830,71900,66880,64410,61950,59390,56920,54460,51900,49430,46970,44510,41940,39480,36920,34450,31990,29430,26000,22680,19050,16480
1800,110640,105930,101220,96510,91810,87100,82390,77580,72870,68160,63450,61100,58740,56390,54040,51680,49330,46970,44510,42270,39800,37450,35100,32740,30390,28030,24820,21610,18300,15840
1700,104540,100050,95660,91160,86780,82280,77790,73400,68910,64520,60030,57780,55530,53390,51150,48900,46650,44410,42160,40020,37660,35520,33280,31030,28780,26540,23540,20650,17440,15190
1600,98440,94270,90090,85920,81640,77470,73300,69120,64950,60780,56600,54460,52430,50290,48150,46120,43980,41940,39800,37770,35630,33490,31460,29320,27290,25150,22360,19580,16690,14550
1500,92340,88380,84530,80570,76610,72760,68800,64840,60990,57030,53070,51150,49220,47290,45260,43340,41410,39380,37450,35520,33490,31570,29530,27610,25680,23650,21080,18620,15840,13910
1400,86240,82600,78860,75220,71580,67950,64310,60670,57030,53290,49650,47830,46010,44190,42370,40550,38730,36920,35100,33280,31350,29530,27710,25890,24080,22260,19900,17550,15090,13270
1300,80140,76720,73300,69980,66550,63130,59810,56390,52970,49650,46220,44510,42910,41200,39480,37770,36060,34350,32640,31030,29320,27610,25890,24180,22470,20760,18620,16480,14230,12730
1200,74040,70830,67730,64630,61530,58420,55320,52110,49010,45900,42800,41200,39700,38090,36590,34990,33380,31890,30280,28780,27180,25570,24080,22470,20970,19370,17440,15520,13480,12090
1100,67950,65060,62170,59390,56500,53610,50720,47940,45050,42160,39380,37880,36490,35100,33600,32210,30820,29320,27930,26540,25040,23650,22150,20760,19370,17870,16160,14450,12730,11450
1000,61850,59170,56600,54040,51470,48900,46220,43660,41090,38520,35850,34560,33280,31990,30710,29430,28140,26860,25570,24290,22900,21610,20330,19050,17760,16480,14980,13480,11880,10810
950,58740,56280,53820,51360,48900,46440,43980,41520,39060,36590,34130,32850,31670,30390,29210,28030,26750,25470,24290,23010,21830,20540,19370,18080,16910,15730,14230,12840,11340,10270
900,55530,53290,50930,48580,46330,43980,41620,39270,37020,34670,32310,31140,29960,28890,27710,26540,25360,24180,23010,21830,20760,19580,18400,17230,16050,14870,13480,12200,10810,9840
850,52430,50290,48040,45900,43660,41520,39270,37130,34880,32740,30500,29430,28360,27290,26110,25040,23970,22900,21720,20650,19580,18510,17330,16260,15190,14120,12840,11560,10270,9310
800,49330,47290,45260,43230,41090,39060,37020,34990,32850,30820,28780,27710,26640,25680,24610,23540,22580,21510,20540,19470,18400,17440,16370,15300,14340,13270,12090,10910,9630,8770
750,46220,44300,42370,40450,38520,36590,34670,32740,30820,28890,26960,26000,25040,24080,23110,22150,21190,20220,19260,18300,17330,16370,15410,14450,13480,12520,11340,10270,9100,8350
700,43120,41300,39480,37770,35950,34130,32310,30600,28780,26960,25150,24290,23430,22470,21610,20650,19800,18940,17980,17120,16160,15300,14450,13480,12630,11770,10700,9630,8560,7810
650,40020,38310,36700,34990,33380,31670,30070,28360,26750,25040,23430,22580,21720,20870,20010,19260,18400,17550,16690,15940,15090,14230,13380,12630,11770,10910,9950,8990,8030,7280
600,36920,35310,33810,32310,30710,29210,27710,26220,24610,23110,21610,20870,20010,19260,18510,17760,17010,16260,15520,14770,14020,13160,12410,11660,10910,10170,9200,8350,7490,6850
550,33810,32420,30920,29530,28140,26750,25360,23970,22580,21190,19800,19150,18400,17660,17010,16370,15620,14980,14230,13480,12840,12090,11450,10700,10060,9310,8560,7700,6850,6310
500,30600,29430,28140,26860,25570,24290,23110,21830,20540,19260,17980,17440,16800,16160,15520,14870,14230,13590,12950,12310,11660,11130,10490,9740,9200,8560,7700,7060,6310,5780
450,27500,26430,25250,24180,23010,21940,20760,19580,18510,17330,16260,15730,15090,14550,14020,13380,12840,12310,11770,11130,10590,10060,9420,8880,8350,7810,7060,6420,5780,5240
400,24400,23430,22360,21400,20440,19470,18400,17440,16480,15410,14450,13910,13480,12950,12410,11980,11450,11020,10490,9950,9420,8990,8450,7920,7490,6960,6420,5780,5240,4820
350,21290,20440,19580,18730,17760,16910,16050,15190,14340,13480,12630,12200,11770,11340,10910,10490,10060,9630,9200,8770,8240,7920,7490,6960,6630,6210,5560,5140,4600,4280
300,18190,17440,16690,15940,15300,14550,13800,13050,12310,11560,10910,10490,10170,9740,9420,9100,8670,8350,7920,7600,7170,6850,6530,6100,5780,5350,4920,4490,4070,3750
250,15090,14450,13910,13270,12730,12090,11450,10910,10270,9740,9100,8770,8450,8240,7920,7600,7280,6960,6740,6420,6100,5780,5460,5240,4920,4600,4280,3850,3530,3320
200,12310,11770,11340,10810,10380,9840,9420,8880,8450,8030,7490,7280,7060,6740,6530,6310,5990,5780,5560,5350,5030,4920,4710,4280,4170,3960,3640,3320,3000,2890
180,11660,11240,10700,10270,9840,9420,8880,8450,8030,7600,7060,6850,6630,6420,6210,5990,5780,5560,5350,5030,4820,4600,4390,4170,3960,3750,3420,3210,2890,2780
160,10380,9950,9520,9200,8770,8350,8030,7600,7170,6850,6420,6210,5990,5780,5560,5350,5240,5030,4820,4600,4390,4280,3960,3850,3640,3420,3210,2890,2680,2570
140,9100,8770,8450,8130,7700,7380,7060,6740,6420,5990,5670,5560,5350,5140,5030,4820,4600,4490,4280,4170,3960,3750,3640,3420,3320,3100,2890,2680,2460,2350
120,7810,7490,7170,6960,6630,6310,6100,5780,5460,5240,4920,4820,4600,4490,4390,4170,4070,3960,3750,3640,3420,3320,3210,3000,2890,2780,2570,2350,2250,2140
100,6630,6420,6210,5890,5670,5460,5240,4920,4710,4490,4280,4170,4070,3850,3750,3640,3530,3420,3320,3210,3100,2890,2780,2680,2570,2460,2250,2140,2030,1930
80,5350,5240,5030,4820,4710,4490,4280,4070,3960,3750,3530,3420,3320,3210,3210,3100,3000,2890,2780,2680,2570,2460,2350,2350,2250,2140,2030,1930,1710,1710
60,3960,3850,3750,3530,3420,3320,3210,3100,3000,2890,2680,2680,2570,2570,2460,2460,2350,2250,2250,2140,2140,2030,2030,1930,1820,1820,1710,1610,1500,1500
40,3210,3100,3000,3000,2890,2780,2680,2570,2460,2350,2250,2250,2250,2140,2140,2030,2030,1930,1930,1930,1820,1820,1710,1710,1610,1610,1500,1500,1390,1390
30,2350,2250,2250,2140,2140,2030,2030,1930,1930,1820,1820,1820,1710,1710,1710,1710,1610,1610,1610,1500,1500,1500,1500,1390,1390,1390,1390,1280,1280,1280
20,1930,1930,1930,1820,1820,1820,1710,1710,1610,1610,1610,1610,1500,1500,1500,1500,1500,1390,1390,1390,1390,1390,1280,1280,1280,1280,1280,1180,1180,1180
10,1280,1280,1280,1280,1280,1280,1280,1280,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1070,1070,1070,1070
